video,video_frame,global_frame,track_id,cls_id,class_name,direction,delta,count_after,center_x,center_y,conf
16-20-44.mp4_fixed.mp4,150222,150222,1228,0,Bactrocera dorsalis,enter,1,80,1324.5,768.38,0.9531
16-20-44.mp4_fixed.mp4,150815,150815,1257,0,Bactrocera dorsalis,enter,1,81,1135.21,584.93,0.9473
16-20-44.mp4_fixed.mp4,150826,150826,1234,0,Bactrocera dorsalis,exit,-1,80,1239.94,584.15,0.9321
16-20-44.mp4_fixed.mp4,150888,150888,1234,0,Bactrocera dorsalis,enter,1,81,1034.51,715.11,0.9204
16-20-44.mp4_fixed.mp4,150921,150921,1257,0,Bactrocera dorsalis,exit,-1,80,1102.72,596.12,0.9321
16-20-44.mp4_fixed.mp4,151013,151013,1257,0,Bactrocera dorsalis,enter,1,81,1063.0,639.98,0.7593
16-20-44.mp4_fixed.mp4,151050,151050,1234,0,Bactrocera dorsalis,exit,-1,80,1108.95,591.51,0.6167
16-20-44.mp4_fixed.mp4,151115,151115,1234,0,Bactrocera dorsalis,enter,1,81,1048.44,787.69,0.9375
16-20-44.mp4_fixed.mp4,151148,151148,1257,0,Bactrocera dorsalis,exit,-1,80,1182.33,567.56,0.9399
16-20-44.mp4_fixed.mp4,151167,151167,1234,0,Bactrocera dorsalis,exit,-1,79,1127.06,582.54,0.9302
16-20-44.mp4_fixed.mp4,151307,151307,1257,0,Bactrocera dorsalis,enter,1,80,1042.0,689.02,0.8911
16-20-44.mp4_fixed.mp4,152443,152443,1275,0,Bactrocera dorsalis,enter,1,81,1045.7,768.43,0.9219
16-20-44.mp4_fixed.mp4,152476,152476,1257,0,Bactrocera dorsalis,exit,-1,80,1069.76,622.96,0.9243
16-20-44.mp4_fixed.mp4,154411,154411,1286,0,Bactrocera dorsalis,enter,1,81,1136.3,583.89,0.9507
16-20-44.mp4_fixed.mp4,155444,155444,1290,0,Bactrocera dorsalis,enter,1,82,1083.84,614.7,0.9443
16-20-44.mp4_fixed.mp4,155464,155464,1286,0,Bactrocera dorsalis,exit,-1,81,1059.07,810.02,0.9399
16-20-44.mp4_fixed.mp4,155545,155545,1286,0,Bactrocera dorsalis,enter,1,82,1034.36,724.96,0.9224
16-20-44.mp4_fixed.mp4,155549,155549,1286,0,Bactrocera dorsalis,exit,-1,81,1033.14,719.65,0.7188
16-20-44.mp4_fixed.mp4,155556,155556,1286,0,Bactrocera dorsalis,enter,1,82,1034.63,720.49,0.9331
16-20-44.mp4_fixed.mp4,155605,155605,1296,0,Bactrocera dorsalis,enter,1,83,1082.51,619.04,0.9473
16-20-44.mp4_fixed.mp4,156295,156295,1294,0,Bactrocera dorsalis,enter,1,84,1056.23,654.79,0.8843
16-20-44.mp4_fixed.mp4,156556,156556,1306,0,Bactrocera dorsalis,enter,1,85,1066.08,635.84,0.8955
16-20-44.mp4_fixed.mp4,159554,159554,1309,0,Bactrocera dorsalis,enter,1,86,1184.21,873.13,0.9136
16-20-44.mp4_fixed.mp4,164263,164263,1342,0,Bactrocera dorsalis,enter,1,87,1081.4,620.61,0.9385
16-20-44.mp4_fixed.mp4,164334,164334,1343,0,Bactrocera dorsalis,enter,1,88,1267.48,601.39,0.9448
16-20-44.mp4_fixed.mp4,164342,164342,1343,0,Bactrocera dorsalis,exit,-1,87,1334.76,686.59,0.9502
16-20-44.mp4_fixed.mp4,164355,164355,1339,0,Bactrocera dorsalis,enter,1,88,1122.79,587.41,0.9438
16-20-44.mp4_fixed.mp4,164447,164447,1343,0,Bactrocera dorsalis,enter,1,89,1325.22,741.04,0.9448
16-20-44.mp4_fixed.mp4,164553,164553,1346,0,Bactrocera dorsalis,exit,-1,88,1028.21,744.5,0.9341
16-20-44.mp4_fixed.mp4,164608,164608,1346,0,Bactrocera dorsalis,enter,1,89,1038.63,689.37,0.9375
16-20-44.mp4_fixed.mp4,166262,166262,1351,0,Bactrocera dorsalis,enter,1,90,1045.54,774.4,0.9243
16-20-44.mp4_fixed.mp4,168575,168575,1392,0,Bactrocera dorsalis,enter,1,91,1141.01,864.8,0.9326
16-20-44.mp4_fixed.mp4,172078,172078,1394,0,Bactrocera dorsalis,enter,1,92,1226.44,866.52,0.9478
16-20-44.mp4_fixed.mp4,176777,176777,1398,0,Bactrocera dorsalis,enter,1,93,1297.81,628.22,0.9302
16-20-44.mp4_fixed.mp4,181571,181571,1400,0,Bactrocera dorsalis,enter,1,94,1227.07,585.4,0.9238
16-20-44.mp4_fixed.mp4,181583,181583,1400,0,Bactrocera dorsalis,exit,-1,93,1095.94,601.71,0.937
16-20-44.mp4_fixed.mp4,181927,181927,1404,0,Bactrocera dorsalis,enter,1,94,1040.79,768.05,0.936
16-20-44.mp4_fixed.mp4,182452,182452,1405,0,Bactrocera dorsalis,enter,1,95,1039.92,682.94,0.9268
16-20-44.mp4_fixed.mp4,183309,183309,1405,0,Bactrocera dorsalis,exit,-1,94,1034.35,701.25,0.5947
16-20-44.mp4_fixed.mp4,183315,183315,1405,0,Bactrocera dorsalis,enter,1,95,1035.64,705.85,0.9141
16-20-44.mp4_fixed.mp4,183324,183324,1405,0,Bactrocera dorsalis,exit,-1,94,1032.62,712.78,0.9355
16-20-44.mp4_fixed.mp4,183379,183379,1405,0,Bactrocera dorsalis,enter,1,95,1038.39,705.46,0.9082
16-20-44.mp4_fixed.mp4,192856,192856,1415,0,Bactrocera dorsalis,enter,1,96,1035.48,710.16,0.9238
16-20-44.mp4_fixed.mp4,192884,192884,1415,0,Bactrocera dorsalis,exit,-1,95,1033.82,730.58,0.9033
16-20-44.mp4_fixed.mp4,192886,192886,1415,0,Bactrocera dorsalis,enter,1,96,1034.21,731.63,0.7388
16-20-44.mp4_fixed.mp4,192891,192891,1415,0,Bactrocera dorsalis,exit,-1,95,1031.99,734.34,0.7217
16-20-44.mp4_fixed.mp4,192931,192931,1415,0,Bactrocera dorsalis,enter,1,96,1042.04,765.82,0.9395
16-20-44.mp4_fixed.mp4,192965,192965,1415,0,Bactrocera dorsalis,exit,-1,95,1175.64,877.12,0.9526
16-20-44.mp4_fixed.mp4,193257,193257,1415,0,Bactrocera dorsalis,enter,1,96,1134.98,864.48,0.9526
16-20-44.mp4_fixed.mp4,193373,193373,1421,0,Bactrocera dorsalis,enter,1,97,1197.0,581.08,0.9443
16-20-44.mp4_fixed.mp4,193505,193505,1413,0,Bactrocera dorsalis,enter,1,98,1100.87,602.34,0.9375
16-20-44.mp4_fixed.mp4,193597,193597,1415,0,Bactrocera dorsalis,exit,-1,97,1037.2,766.35,0.9219
16-20-44.mp4_fixed.mp4,193766,193766,1415,0,Bactrocera dorsalis,enter,1,98,1113.18,593.79,0.9194
16-20-44.mp4_fixed.mp4,193769,193769,1415,0,Bactrocera dorsalis,exit,-1,97,1113.08,590.33,0.9365
16-20-44.mp4_fixed.mp4,193868,193868,1415,0,Bactrocera dorsalis,enter,1,98,1115.67,591.69,0.9531
16-20-44.mp4_fixed.mp4,193890,193890,1413,0,Bactrocera dorsalis,exit,-1,97,1316.78,794.82,0.9507
