video,video_frame,global_frame,track_id,logical_track_id,cls_id,class_name,detected_cls_id,voted_cls_id,direction,delta,count_after,center_x,center_y,conf,stitched,stitch_gap_frames,event_reason,occupancy_token_id,recovered_from_logical_id,recovery_score,recovery_track_class_id,recovery_class_match
08-41-24.mp4,42684,42684,4040,640,1,Bactrocera dorsalis,1,1,enter,1,5,1101.6,617.2,0.8799,1,11,tracked_enter,29,,,,
08-41-24.mp4,44191,44191,3040,442,0,Bactrocera correcta,1,0,enter,1,3,1287.84,650.81,0.8569,0,0,tracked_enter,30,,,,
08-41-24.mp4,44799,44799,4298,711,1,Bactrocera dorsalis,1,1,enter,1,6,1056.38,690.1,0.9058,0,0,tracked_enter,31,,,,
08-41-24.mp4,45679,45679,4337,719,0,Bactrocera correcta,1,0,enter,1,4,1079.89,809.74,0.6621,1,10,tracked_enter,32,,,,
08-41-24.mp4,45704,45704,4337,719,0,Bactrocera correcta,0,0,exit,-1,3,1042.82,812.11,0.8481,1,10,tracked_exit,32,719,,,
08-41-24.mp4,46030,46030,4337,719,0,Bactrocera correcta,0,0,enter,1,4,1072.39,799.75,0.8081,1,10,tracked_enter,33,,,,
08-41-24.mp4,48145,48145,4464,760,0,Bactrocera correcta,0,0,exit,-1,3,1173.9,559.11,0.8457,0,0,recovered_exit,17,357,0.8448162208660028,0,1
08-41-24.mp4,49339,49339,4459,757,1,Bactrocera dorsalis,1,1,enter,1,7,1317.02,702.3,0.894,0,0,tracked_enter,34,,,,
08-41-24.mp4,49365,49365,4459,757,1,Bactrocera dorsalis,1,1,exit,-1,6,1341.41,673.78,0.8501,0,0,tracked_exit,34,757,,,
08-41-24.mp4,50300,50300,4759,799,0,Bactrocera correcta,0,0,enter,1,4,1316.7,739.9,0.8345,0,0,tracked_enter,35,,,,
08-41-24.mp4,50724,50724,4551,780,0,Bactrocera correcta,0,0,enter,1,5,1104.83,615.44,0.876,0,0,tracked_enter,36,,,,
08-41-24.mp4,50999,50999,4974,837,1,Bactrocera dorsalis,1,1,enter,1,7,1231.52,605.34,0.6738,0,0,tracked_enter,37,,,,
08-41-24.mp4,51017,51017,4464,760,0,Bactrocera correcta,0,0,enter,1,6,1277.91,631.31,0.7881,0,0,tracked_enter,38,,,,
08-41-24.mp4,51025,51025,4464,760,0,Bactrocera correcta,0,0,exit,-1,5,1272.11,583.94,0.8389,0,0,tracked_exit,38,760,,,
